mouse_id,session_id,cluster_id,best_channel,n_spikes,si,ssi,p_value
7010,m1,0,0,71291,0.0123212351807805,17.32817501015269,0.0
7010,m1,2,3,34063,0.0158924430081053,14.442208516825874,0.0
7010,m1,3,2,85220,0.0060056781042839,4.659174191693817,0.0
7010,m1,6,6,945,0.5458548443895208,7.400952263830998,0.001
7010,m1,12,11,53099,0.0017931442718785,2.359712794840161,0.018
7010,m1,13,11,28973,0.025122134696715,2.3544190209640408,0.029
7010,m1,14,8,47547,0.0039780113890566,5.163018394454019,0.0
7010,m1,16,10,51762,0.0049178513460029,11.178116133111889,0.0
7010,m1,17,14,62745,0.0037235571768123,7.031212868288486,0.0
7010,m1,18,13,53658,0.0057570958215133,2.7581473907595613,0.01
7010,m1,19,13,114279,0.0053259470670936,19.14671342898115,0.0
7010,m1,20,14,55256,0.0110116880445766,7.62024829495089,0.0
7010,m1,23,19,136412,0.0052139326226287,14.391248528151944,0.002
7010,m1,24,16,119833,0.0019363818407408,5.102675113039662,0.001
7010,m1,25,17,71821,0.0046583207440207,5.249238206822636,0.004
7010,m1,26,19,76042,0.004500590035483,3.554188616731487,0.003
7010,m1,27,22,37774,0.0076197277281349,12.065930973596782,0.0
7010,m1,28,21,28337,0.0107505118423772,10.366049895772406,0.001
7010,m1,30,21,37689,0.0049145973243584,5.939982818750996,0.002
7010,m1,31,22,34589,0.0110770175419603,14.619272198822449,0.0
7010,m1,32,26,23487,0.0149914680255205,8.974248278697667,0.0
7010,m1,33,26,15541,0.0154402519354703,7.934608805831663,0.0
7010,m1,34,24,27996,0.0043137352368089,2.7934963780426654,0.007
7010,m1,37,29,58297,0.0122686605062915,15.236800096360229,0.0
7010,m1,38,28,68616,0.002105695947772,2.6156911709878297,0.008
7010,m1,40,30,62579,0.0023819843968527,2.9010026484285367,0.006
7010,m2,0,3,80920,0.0043387703496197,6.073600970826928,0.0
7010,m2,1,2,13777,0.0221650579339616,6.819977337055138,0.0
7010,m2,2,2,20150,0.0064680419922861,4.417040496151177,0.0
